"Chromosome"	"Physical length (Mb)"	"Marshfield sex-averaged Genetic length (cM)"	"Sex averaged"	"Male"	"Female"	"Sex averaged"	"Excluding centromere"	"Number of Markers"
1	282.61	284.07	270.27	195.12	345.41	0.96	1.08	468
2	252.48	261.61	257.48	189.55	325.41	1.02	1.05	407
3	224.54	219.34	218.17	160.71	275.64	0.97	0.99	369
4	205.35	206.59	202.8	146.54	259.06	0.99	1	302
5	199.24	197.54	205.69	151.2	260.19	1.03	1.06	334
6	190.87	189	189.6	137.62	241.59	0.99	1.03	293
7	168.5	178.84	179.34	128.35	230.33	1.06	1.09	246
8	158.14	164.25	158.94	107.94	209.94	1.01	1.04	247
9	150.21	159.61	157.73	117.25	198.2	1.05	1.25	193
10	145.63	168.81	176.01	133.89	218.13	1.21	1.25	256
11	152.96	145.66	152.45	109.36	195.53	1	1.03	260
12	153.39	168.79	171.09	135.54	206.64	1.12	1.17	239
13	100.44	114.98	128.6	101.31	155.88	1.28	1.28	175
14	87.09	127.84	117.49	94.62	142.36	1.36	1.36	161
15	87.25	117.36	128.76	102.57	154.96	1.48	1.48	125
16	106.45	129.33	128.86	108.1	149.62	1.21	1.47	151
17	89.45	125.83	135.04	108.56	161.53	1.51	1.56	181
18	89.37	125.12	120.59	98.62	142.57	1.35	1.41	158
19	69.44	100.61	109.73	92.64	126.82	1.58	1.75	120
20	59.44	95.7	98.35	74.72	121.97	1.66	1.84	141
21	29.97	50.06	61.86	47.31	76.4	2.06	2.06	67
22	31.19	56.55	65.86	48.96	82.76	2.11	2.11	66
"X"	156.83	179.95	179		179	1.14	1.19	177
